Date,Year,ISO_code,Status,Title,Description,Video
,2003,UG,Investigation,The Situation in Uganda,"The situation in the Republic of Uganda involves a protracted conflict between the government of the Republic of Uganda and armed rebel groups, primarily the Lord’s Resistance Army (LRA). The LRA’s insurgency (since 1987) has been characterized by consistent targeting of civilians, mass murder, mutilation, and forcefully abducting children to be child soldiers, servants, and sex slaves. ",
,2004,CF,Investigation,The Situation in the Central African Republic (I),"The first situation in the Central African Republic (CAR I) involves an armed conflict between the part of the armed forces still loyal to then-President Ange‐Félix Patassé and several armed groups. Following Patassé’s accusation that François Bozizé had been involved in a failed coup d’état attempt in 2001, the conflict erupted into a pattern of widespread sexual violence, killings and attacks against civilians mostly near Bangui and in surrounding areas. ",
,2004,CD,Investigation,The Situation in the Democratic Republic of the Congo,"The situation in the Democratic Republic of the Congo (DRC) involves a protracted armed conflict between the Government of the DRC and many armed groups, including up to 25 armed rebel groups and eight African states during the Second Congo War. The conflict has been characterized by patterns of brutal attacks against civilians, including rape, torture, force displacement, the recruitment and use of child soldiers, and mass murder, and millions of civilians have died over the course of the conflict. ",
,2005,SD,Investigation,"The Situation in Darfur, Sudan","The situation in the Republic of Sudan involves a conflict between the Government of the Republic of Sudan and several armed groups fighting for control over resources and land and increased rights for their perceived disadvantaged tribes or social groups. The conflict has been especially intense in Darfur, where pro-government militias allegedly conducted an ethnic cleansing campaign against non-Arabs from 2003-2005. The conflict has been characterized by massive human rights violations, attacks on civilians and aid workers and forced displacements of hundreds of thousands of civilians. The Security Council referred the situation in Sudan to the ICC on 31 March 2005 through Resolution 1593, and the Office of the Prosecutor officially opened an investigation on 6 June 2005.",
,2010,CI,Investigation,The Situation in Côte d'Ivoire,"The situation in the Republic of Côte d'Ivoire involves violence resulting from a decade of tension over the leadership of Côte d'Ivoire and contested presidential elections in 2010. Côte d'Ivoire endured a revolt in 2002 and a stagnated revolution thereafter. When former President Gbabgo refused to cede power after elections in November 2010, pro-Gbagbo forces allegedly attacked civilians perceived to be associated with the opposition, and both pro-Gbagbo and pro-Ouattara forces allegedly committed murder, rape, other attacks against civilians throughout the conflict until April 2011. The Office of the Prosecutor initiated a *proprio motu* investigation on 23 June 2011, which was later expanded to cover evidence of crimes since 19 September 2002.",
,2011,LY,Investigation,The Situation in Libya,"The situation in the Libyan Arab Jamahiriya (Libya) involves mass violence that occurred throughout Libya’s six month popular uprising in 2011. Initial protests in Libya began on 15 February 2011 when Libyan Security Forces allegedly openly fired into a crowd of thousands of demonstrators. Additional protests in the following weeks called for Colonel Gaddafi’s government to step down, and Libyan Security Forces allegedly killed, injured, arrested and disappeared hundreds of civilians perceived as dissidents. Hundreds of thousands of civilians were displaced over the course of the conflict. The Security Council referred the situation in Libya to the ICC on 26 February 2011 through unanimous Resolution 1970, and the Office of the Prosecutor officially opened an investigation on 3 March 2011.",
,2012,ML,Investigation,The Situation in Mali,"The situation in the Republic of Mali involves a conflict between government forces and several armed groups fighting for independence or increased autonomy. The insurgency began in January 2012 and President Amadou Toumani Touré was forcefully ousted on 22 March 2012 shortly before scheduled Presidential elections. Violence peaked with the seizure of much of northern Mali in April 2012, and in fighting to control the region afterwards, various groups allegedly executed detainees, inflicted severe punishments (including torture), and raped civilians, looted property and destroyed cultural property. The Republic of Mali referred the situation to the ICC on 18 July 2012 and the Office of the Prosecutor officially opened an investigation on 16 January 2013.",
,2014,CFII,Investigation,The Situation in the Central African Republic (II),The second situation in the Central African Republic (CAR II) involves atrocities committed between a conflict between a mostly Muslim Seleka rebel group called Seleka and a mostly Christian reactionary force alled anti-Balaka. This ICC has jurisdiction over this situation by virtue of a State Party referral by CAR. ,
2005-07-08,,UG,Pre-trial,"The Prosecutor v. Joseph Kony, Vincent Otti, Okot Odihambo and Dominic Ongwen (Prosecutor v. Kony et. al.)",[Warrant of arrest](http://www.icc-cpi.int/iccdocs/doc/doc97185.pdf) issued under seal (unsealed 13 October 2005),
2006-02-10,,CD,Pre-trial,The Prosecutor v. Thomas Lubanga Dyilo (Prosecutor v. Lubanga),[Warrant of arrest](http://www.icc-cpi.int/iccdocs/doc/doc191959.PDF) issued under seal (unsealed 17 March 2006) ![](/assets/img/lubanga.jpg),
